elapsed_s,pid,uss,rss,pss,min_flt,maj_flt,oom,oomadj
8.39345407485962,352997,61628,104000,75651,8451,9,668,0
8.39345407485962,353005,51084,93836,65240,8476,0,668,0
8.39345407485962,353012,33876,76304,47920,8217,0,668,0
8.39345407485962,353019,1216,5020,2231,526,0,666,0
8.443650960922241,352997,61496,104000,74940,8451,9,668,0
8.443650960922241,353005,51084,93836,64619,8476,0,668,0
8.443650960922241,353012,37992,80692,51479,8266,0,668,0
8.443650960922241,353019,3336,15168,6466,1250,0,666,0
8.505175113677979,352997,61496,104000,74833,8451,9,668,0
8.505175113677979,353005,51084,93836,64522,8476,0,668,0
8.505175113677979,353012,36744,79448,50145,8266,0,668,0
8.505175113677979,353019,3452,16468,6841,1346,0,666,0
8.566745042800903,352997,61496,104000,74833,8451,9,668,0
8.566745042800903,353005,53132,95884,66570,8477,0,668,0
8.566745042800903,353012,36744,79448,50145,8266,0,668,0
8.566745042800903,353019,3452,16468,6841,1346,0,666,0
8.599848985671997,352997,63544,106048,76825,8452,9,668,0
8.599848985671997,353005,53132,95884,66513,8477,0,668,0
8.599848985671997,353012,40844,83540,54186,8268,0,668,0
8.599848985671997,353019,3872,17604,7427,1496,0,666,0
8.661779165267944,352997,63548,106048,76811,8452,9,668,0
8.661779165267944,353005,53132,95884,66497,8477,0,668,0
8.661779165267944,353012,40844,83540,54170,8268,0,668,0
8.661779165267944,353019,3888,17604,7491,1512,0,666,0
8.722849130630493,352997,63548,106048,76800,8452,9,668,0
8.722849130630493,353005,53132,95884,66487,8477,0,668,0
8.722849130630493,353012,40844,83540,54159,8268,0,668,0
8.722849130630493,353019,3888,17792,7523,1514,0,666,0
8.787989139556885,352997,63548,106048,76748,8452,9,668,0
8.787989139556885,353005,55180,97932,68456,8478,0,668,0
8.787989139556885,353012,42892,85588,56126,8269,0,668,0
8.787989139556885,353019,4016,19236,7939,1660,0,666,0
8.840274095535278,352997,65440,108096,76486,8453,9,668,0
8.840274095535278,353005,55148,97932,66191,8478,0,668,0
8.840274095535278,353012,42720,85588,53775,8269,0,668,0
8.840274095535278,353019,13312,55512,24145,4562,0,667,0
8.884345054626465,352997,65440,108096,76446,8453,9,668,0
8.884345054626465,353005,55148,97932,66165,8478,0,668,0
8.884345054626465,353012,42684,85588,53726,8269,0,668,0
8.884345054626465,353019,22416,65096,33355,6891,0,667,0
8.928527116775513,352997,65440,108096,76432,8453,9,668,0
8.928527116775513,353005,55148,97932,66147,8478,0,668,0
8.928527116775513,353012,42684,85588,53713,8269,0,668,0
8.928527116775513,353019,35156,77904,46129,7602,0,668,0
8.962785959243774,352997,69536,112192,80528,8455,9,668,0
8.962785959243774,353005,55148,97932,66147,8478,0,668,0
8.962785959243774,353012,42684,85588,53713,8269,0,668,0
8.962785959243774,353019,36012,76700,46985,7816,0,668,0
9.000229120254517,352997,69536,112192,80528,8455,9,668,0
9.000229120254517,353005,55148,97932,66147,8478,0,668,0
9.000229120254517,353012,42684,85588,53713,8269,0,668,0
9.000229120254517,353019,27788,70452,38761,7910,0,668,0
9.036370038986206,352997,69536,112192,80528,8455,9,668,0
9.036370038986206,353005,55148,97932,66147,8478,0,668,0
9.036370038986206,353012,42684,85588,53713,8269,0,668,0
9.036370038986206,353019,27788,70452,38761,7910,0,668,0
9.072506189346313,352997,69536,112192,80528,8455,9,668,0
9.072506189346313,353005,55148,97932,66147,8478,0,668,0
9.072506189346313,353012,42684,85588,53713,8269,0,668,0
9.072506189346313,353019,28284,70964,39257,8034,0,668,0
9.109246969223022,352997,69536,112192,80528,8455,9,668,0
9.109246969223022,353005,55148,97932,66147,8478,0,668,0
9.109246969223022,353012,42684,85588,53713,8269,0,668,0
9.109246969223022,353019,28372,71092,39345,8056,0,668,0
9.14569902420044,352997,69536,112192,80528,8455,9,668,0
9.14569902420044,353005,55148,97932,66147,8478,0,668,0
9.14569902420044,353012,42684,85588,53713,8269,0,668,0
9.14569902420044,353019,28372,71092,39345,8056,0,668,0
9.183034181594849,352997,69536,112192,80528,8455,9,668,0
9.183034181594849,353005,55148,97932,66147,8478,0,668,0
9.183034181594849,353012,44732,87636,55761,8270,0,668,0
9.183034181594849,353019,28372,71092,39345,8056,0,668,0
9.220980167388916,352997,69536,112192,80528,8455,9,668,0
9.220980167388916,353005,55148,97932,66147,8478,0,668,0
9.220980167388916,353012,44732,87636,55761,8270,0,668,0
9.220980167388916,353019,28372,71092,39345,8056,0,668,0
9.259763956069946,352997,69536,112192,80528,8455,9,668,0
9.259763956069946,353005,55148,97932,66147,8478,0,668,0
9.259763956069946,353012,44732,87636,55761,8270,0,668,0
9.259763956069946,353019,28372,71092,39345,8056,0,668,0
9.298573017120361,352997,71584,114240,82576,8456,9,668,0
9.298573017120361,353005,55148,99980,66147,8478,0,668,0
9.298573017120361,353012,44732,87636,55761,8270,0,668,0
9.298573017120361,353019,28372,71092,39345,8056,0,668,0
9.338526010513306,352997,71584,114240,82576,8456,9,668,0
9.338526010513306,353005,57196,99980,68195,8479,0,668,0
9.338526010513306,353012,44732,87636,55761,8270,0,668,0
9.338526010513306,353019,28372,71092,39345,8056,0,668,0
9.37876009941101,352997,73632,116288,84624,8457,9,668,0
9.37876009941101,353005,57196,99980,68195,8479,0,668,0
9.37876009941101,353012,44732,87636,55761,8270,0,668,0
9.37876009941101,353019,28372,71092,39345,8056,0,668,0
9.41941213607788,352997,73632,116288,84624,8457,9,668,0
9.41941213607788,353005,57196,99980,68195,8479,0,668,0
9.41941213607788,353012,46780,89684,57809,8271,0,668,0
9.41941213607788,353019,28372,71092,39345,8056,0,668,0
9.461359977722168,352997,73632,116288,84624,8457,9,668,0
9.461359977722168,353005,57196,99980,68195,8479,0,668,0
9.461359977722168,353012,46780,89684,57809,8271,0,668,0
9.461359977722168,353019,28372,71092,39345,8056,0,668,0
9.502701997756958,352997,73632,116288,84624,8457,9,668,0
9.502701997756958,353005,57196,99980,68195,8479,0,668,0
9.502701997756958,353012,46780,89684,57809,8271,0,668,0
9.502701997756958,353019,30420,73168,41393,8057,0,668,0
9.544147968292236,352997,73632,116288,84624,8457,9,668,0
9.544147968292236,353005,57196,99980,68195,8479,0,668,0
9.544147968292236,353012,46780,89684,57809,8271,0,668,0
9.544147968292236,353019,30420,73168,41393,8057,0,668,0
9.587316989898682,352997,73632,116288,84624,8457,9,668,0
9.587316989898682,353005,57196,99980,68195,8479,0,668,0
9.587316989898682,353012,46780,89684,57809,8271,0,668,0
9.587316989898682,353019,30420,73168,41393,8057,0,668,0
9.630231142044067,352997,73632,116288,84624,8457,9,668,0
9.630231142044067,353005,57196,99980,68195,8479,0,668,0
9.630231142044067,353012,46780,89684,57809,8271,0,668,0
9.630231142044067,353019,30420,73168,41393,8057,0,668,0
9.676427125930786,352997,73632,116288,84624,8457,9,668,0
9.676427125930786,353005,57196,99980,68195,8479,0,668,0
9.676427125930786,353012,46780,89684,57809,8271,0,668,0
9.676427125930786,353019,38024,80768,48997,8425,0,668,0
9.721060991287231,352997,73632,116288,84624,8457,9,668,0
9.721060991287231,353005,57196,99980,68195,8479,0,668,0
9.721060991287231,353012,46780,89684,57809,8271,0,668,0
9.721060991287231,353019,38820,81568,49793,8428,0,668,0
9.76497507095337,352997,75680,118336,86672,8458,9,668,0
9.76497507095337,353005,57196,99980,68195,8479,0,668,0
9.76497507095337,353012,46780,89684,57809,8271,0,668,0
9.76497507095337,353019,40868,83616,51841,8429,0,668,0
9.810218095779419,352997,75680,118336,86672,8458,9,668,0
9.810218095779419,353005,57196,99980,68195,8479,0,668,0
9.810218095779419,353012,46780,89684,57809,8271,0,668,0
9.810218095779419,353019,40868,83616,51841,8429,0,668,0
9.858963012695312,352997,77728,120384,88720,8459,9,668,0
9.858963012695312,353005,57196,99980,68195,8479,0,668,0
9.858963012695312,353012,46780,89684,57809,8271,0,668,0
9.858963012695312,353019,42916,85664,53889,8430,0,668,0
9.907297134399414,352997,77728,120384,88720,8459,9,668,0
9.907297134399414,353005,59244,102028,70243,8480,0,668,0
9.907297134399414,353012,46780,89684,57809,8271,0,668,0
9.907297134399414,353019,42916,85664,53889,8430,0,668,0
9.955072164535522,352997,77728,120384,88720,8459,9,668,0
9.955072164535522,353005,59244,102028,70243,8480,0,668,0
9.955072164535522,353012,48828,91732,59857,8272,0,668,0
9.955072164535522,353019,42916,85664,53889,8430,0,668,0
10.001569032669067,352997,77728,120384,88720,8459,9,668,0
10.001569032669067,353005,59244,102028,70243,8480,0,668,0
10.001569032669067,353012,48828,91732,59857,8272,0,668,0
10.001569032669067,353019,42916,85664,53889,8430,0,668,0
10.050225019454956,352997,77728,120384,88720,8459,9,668,0
10.050225019454956,353005,61292,104076,72291,8481,0,668,0
10.050225019454956,353012,48828,91732,59857,8272,0,668,0
10.050225019454956,353019,42916,85664,53889,8430,0,668,0
10.098977088928223,352997,77728,120384,88720,8459,9,668,0
10.098977088928223,353005,61292,104076,72291,8481,0,668,0
10.098977088928223,353012,48828,91732,59857,8272,0,668,0
10.098977088928223,353019,44964,87712,55937,8431,0,668,0
10.148185968399048,352997,77728,120384,88720,8459,9,668,0
10.148185968399048,353005,61292,104076,72291,8481,0,668,0
10.148185968399048,353012,50876,93780,61905,8272,0,668,0
10.148185968399048,353019,44964,87712,55937,8431,0,668,0
10.19889211654663,352997,77728,120384,88720,8459,9,668,0
10.19889211654663,353005,61292,104076,72291,8481,0,668,0
10.19889211654663,353012,50876,93780,61905,8273,0,668,0
10.19889211654663,353019,44964,87712,55937,8431,0,668,0
10.250349044799805,352997,77728,120384,88720,8459,9,668,0
10.250349044799805,353005,61292,104076,72291,8481,0,668,0
10.250349044799805,353012,50876,93780,61905,8273,0,668,0
10.250349044799805,353019,47012,89760,57985,8432,0,668,0
10.3022940158844,352997,79776,122432,90768,8460,9,668,0
10.3022940158844,353005,61292,104076,72291,8481,0,668,0
10.3022940158844,353012,50876,93780,61905,8273,0,668,0
10.3022940158844,353019,47012,89760,57985,8432,0,668,0
10.35514211654663,352997,79776,122432,90768,8460,9,668,0
10.35514211654663,353005,63340,106124,74339,8482,0,668,0
10.35514211654663,353012,50876,93780,61905,8273,0,668,0
10.35514211654663,353019,47012,89760,57985,8432,0,668,0
10.408220052719116,352997,79776,122432,90768,8460,9,668,0
10.408220052719116,353005,63340,106124,74339,8482,0,668,0
10.408220052719116,353012,50876,93780,61905,8273,0,668,0
10.408220052719116,353019,47012,89760,57985,8432,0,668,0
10.461057186126709,352997,81824,124480,92816,8461,9,668,0
10.461057186126709,353005,63340,106124,74339,8482,0,668,0
10.461057186126709,353012,50876,93780,61905,8273,0,668,0
10.461057186126709,353019,47012,89760,57985,8432,0,668,0
10.51573395729065,352997,81824,124480,92816,8461,9,668,0
10.51573395729065,353005,65388,108172,76387,8483,0,668,0
10.51573395729065,353012,50876,93780,61905,8273,0,668,0
10.51573395729065,353019,49060,91808,60033,8433,0,668,0
10.570780992507935,352997,81824,124480,92816,8461,9,668,0
10.570780992507935,353005,65388,108172,76387,8483,0,668,0
10.570780992507935,353012,50876,93780,61905,8273,0,668,0
10.570780992507935,353019,49060,91808,60033,8433,0,668,0
10.627089023590088,352997,81824,124480,92816,8461,9,668,0
10.627089023590088,353005,69484,112268,80483,8485,0,668,0
10.627089023590088,353012,50876,93780,61905,8273,0,668,0
10.627089023590088,353019,49060,91808,60033,8433,0,668,0
10.68413496017456,352997,81824,124480,92816,8461,9,668,0
10.68413496017456,353005,69484,112268,80483,8485,0,668,0
10.68413496017456,353012,52924,95828,63953,8274,0,668,0
10.68413496017456,353019,51108,93856,62081,8434,0,668,0
10.740961074829102,352997,81824,124480,92816,8461,9,668,0
